account_id,customer_id,account_type,account_number,routing_number,balance,credit_limit,interest_rate,status,opened_date
677c06f2-a21e-40b0-a145-32fae7e1386e,fc9f5f42-c73a-44bb-a28a-02f25b9de6c8,Investment,567001752342,028940430,27412.13,,,Closed,2015-10-24 23:44:47.314161
2390ac55-3c87-4255-ae4a-adfd762ed944,04a10e74-0626-441e-924d-f2b909e5e969,Invalid_Type,371162594271339,018911518,-11993.48,,22.29,Closed,2026-06-22 18:19:15.013670
4de8a88c-8142-485c-9809-6800ad1b73cf,9b3e4532-5841-4893-9ec9-158f9417bd10,Investment,3599559251449241,058591341,13288.87,,,Closed,2017-07-17 09:56:00.110692
eb04c236-79a4-4e90-a013-a96cb7791957,ec7b9b5a-6b7e-4859-b97a-a02e3de9c435,Loan,30208077468695,056876071,12837.89,,17.32,Closed,2023-06-27 18:41:13.568198
3fd4b05b-d47e-4cba-839f-c6ceb92e0e45,2dcff503-cce6-47e0-8111-d328cc29839c,Mortgage,4966975165802,044051727,-13917.87,,20.63,Inactive,2022-06-19 19:07:30.928772
3d4b6461-2d11-4280-84c6-35698b0081aa,6e37ad5b-1638-48c0-8cd3-e4892c6fb873,Loan,675931915671,032051001,6164.33,,9.23,Active,2022-02-26 16:14:48.329938
e679fcd7-5149-4db8-a6bc-977034b7c03a,8624e626-68f5-4473-a82a-f6efedda46e2,Savings,3539717901604887,038167818,22647.79,,10.22,Active,2023-07-06 15:54:01.720399
dd3391b4-6a05-4f2a-9ef9-39d6703f3a80,a042bb34-fbe1-41b8-907e-61101af31280,Credit Card,675913510110,115626609,-32384.12,40215.94,12.28,Active,2022-05-13 06:31:23.074375
3d1ade3b-1ac8-43eb-a5a0-132b7bce9020,da7598d0-fefe-46ea-9734-306f06626db4,Loan,213135803653002,119079430,27053.85,,15.84,,2015-10-30 15:41:36.012604
bda558bb-417f-49a4-8348-2ea63b734b0a,164a224e-195d-46ca-a233-96c4020864ab,Loan,3565941047879610,012121388,69940.25,,21.63,Active,2022-01-01 17:24:13.050752
9273a8aa-8489-4b39-9b68-6be245c1d239,2bd88c92-f28f-48f3-9dbb-1a73b50ef26a,Investment,30521134389153,032889082,-35299.29,,,Closed,2025-04-21 10:22:46.461508
23abd666-5127-46e6-bf40-c7be6dac0d7d,e8d33f9c-6a0c-4bbd-bab4-20fda151d5f6,Credit Card,4106716354628904317,088210757,,22091.99,24.52,Closed,2020-12-07 20:12:43.605306
23d1d369-e812-4b6b-ae9e-24605ececd30,fabbff43-d7a9-4e3c-88c8-76d1aceaebb4,Investment,4799738632812,113056378,-16646.7,,,Inactive,2025-05-18 20:40:07.675377
51542bea-5381-490d-b2ba-95f665d9960c,a4e2fab7-a339-49fa-8eca-8a361b380be7,Checking,4437780594501225,,,,,,2023-03-22 17:04:00.587322
8d1a2626-c0a6-44b2-873d-3b510e2ede75,06c96d8b-71fe-4c18-8b80-14c1dd922f38,Loan,3511863695065893,020300641,-34855.8,,7.47,Active,2025-07-04 17:12:54.253970
82cae593-41b7-4329-9989-1c54d1df52d5,aea49ba7-4568-49a0-8e95-96c5fc6421d3,Mortgage,30217252747153,047645415,79394.62,,6.19,Active,2018-07-26 14:18:18.468861
7c26dd91-6095-4aea-aa7f-d4cfc1060f05,d15c1f95-8efb-418e-8175-bce2c7e24c13,Savings,377597104027560,038776047,34805.06,,5.55,Closed,2021-07-20 17:34:16.674320
e98c17a6-0c11-45ea-af7f-8aa39e2b2a5b,fb43fa96-abd4-4cbe-97cd-183230ec8c33,Savings,4629509257833783,075603788,39667.8,,14.71,Active,2021-12-23 22:21:41.131731
f2893611-6320-4a84-830f-8397171f2464,38d3df47-9269-4795-955a-eef619bc657a,Savings,372550498236102,066653242,,,22.55,Inactive,2018-01-06 03:39:31.170597
ce321d64-5bec-43aa-9eb5-c13565fed50e,6a0139ac-a8f5-4555-a56a-23ab2605d687,Credit Card,4280577224878996027,021374333,87958.02,47535.78,13.41,Closed,2024-07-06 18:58:46.188759
b38ecfed-2785-43fc-83ed-f883b67465fd,92903b92-d799-499f-b1f8-7d7ce0cf3cef,Checking,213197696191896,123215358,-18704.69,,,Suspended,2025-08-25 20:40:39.093712
c11b6c88-2853-4d54-a0af-186036f6df79,673e92a5-feda-40f1-970f-99dc6fad8f23,Loan,3521694120706456,119960497,24136.0,,16.04,Suspended,2016-04-10 19:02:51.612323
325d1295-db56-455f-ae49-93cbd7bd7f57,2313cf25-5c0d-4381-b532-d808d4586933,Savings,060464809064,048780298,15305.56,,5.89,Suspended,2026-03-08 07:28:49.167919
48a1e0f1-38c5-4066-93b5-d12f3b7a168f,9bacecb4-9885-4efb-9edf-9a10a2bab16e,Savings,213135059567179,083574676,84162.67,,4.5,Active,2016-04-30 09:42:11.194483
5d12aafe-e10a-4d3a-ac21-bff1393d53ad,0065b01e-dc82-48a3-b96f-c91a59a5a50e,Savings,2711828527880900,127958815,82566.49,,21.27,Inactive,2022-02-14 02:18:36.327293
74349ecc-185a-463e-a42f-ded72b1f2d5b,62dc9642-97b7-4fc1-9ab7-4fe6f4693e3d,Savings,3554734395459504,059949277,68870.82,,17.53,Inactive,2022-07-27 23:10:05.451999
3ef0aa81-bb04-427c-8e5e-2729b5953060,3ede9501-8964-421b-a7de-9c05f01e1f35,Investment,4917440588343563071,120941133,-22033.6,,,Suspended,2026-05-27 05:08:45.529335
6d821438-610d-4952-a439-55536c1b88bd,39423964-28f6-4ee3-a0bc-88f51ad2a999,Investment,2720999443442973,,-8843.02,,,Active,2023-09-16 13:24:22.524465
9e64937f-6436-4269-ae2b-36e3ee68f97a,2e7ef070-1b58-4ed4-b030-4f730e37936a,Checking,3546521956306815,053566902,-33417.04,,,Active,2017-02-20 10:54:34.885740
7edfc636-0b8d-45ff-bff1-3ab3f8e46934,8e66de8a-3ffd-4b61-b855-7ff2dbf1915e,Savings,3581183479388485,052991439,-39510.36,,22.63,Active,2015-09-29 22:22:53.804080
0aedcc2f-60e3-4df0-85e0-3fca6fe97f05,2f5ebb80-0b21-4276-bd01-1fd695277df0,Checking,4349708782649982,024278038,50245.41,,,Closed,2025-10-20 22:33:42.023747
dab11dd7-5046-4536-b92b-462b5b4eb163,9b3e4532-5841-4893-9ec9-158f9417bd10,Credit Card,4442641746527644960,102807350,91453.28,37356.05,22.78,Closed,2020-02-28 16:45:05.326335
f1f3f73d-99cf-4293-9a33-2a912675bc5c,dc85da48-cba1-472d-9eb3-a6536c37cd9e,Loan,180023834288015,080886891,-16668.94,,2.8,Inactive,2018-04-18 15:41:13.801135
59cc3ca0-90a0-4cb1-b81c-3b2cd3a73dc0,27b062be-5814-4a8a-be66-da6362cf3608,Investment,4953321567544310143,073103549,-13669.52,,,Closed,2021-01-19 23:31:59.008827
1d873c5f-2842-413f-abfe-5253a07a902d,a533eeba-bdab-4006-9684-2bfdd47d4dc3,Mortgage,4701745627579593061,118285445,-14983.95,,2.82,Suspended,2024-10-01 19:59:23.108558
f4f1a031-3371-48f3-98f1-b7b4d470e0d4,ebf2ac39-0ac6-484f-8a68-0bf4711184f2,Checking,639015881035,014135291,31625.08,,,Inactive,2017-11-01 12:00:26.091274
52ed32ef-6bd1-4dd7-bf98-fd375a8c7949,bcc24b3b-5a10-49e2-9ff7-5f7b4cd20418,Mortgage,,077593870,93321.23,,20.67,Suspended,2025-08-21 02:56:39.801156
262d7ea7-1189-46ec-bad7-89a4cd390c8b,8a2d996d-da27-45ca-995c-c2807c0a9f17,Investment,3585660347941112,035864842,4873.16,,,Active,2020-05-01 10:41:15.648884
3664d70e-3f73-4757-93e2-db5fcd1ddc5e,90e676da-02bf-4122-8168-fb7be8091f63,Savings,379021973481921,086221175,-19523.66,,9.89,Suspended,2021-06-06 19:04:19.237284
2076154f-d246-407a-abfd-2e2de0b100b7,3419e4fa-4e55-41ac-a561-7662f192fbc6,Loan,4439477509422575,,,,23.23,Inactive,2023-03-20 06:25:31.643858
013a332f-5b57-4b7e-ad2d-e770493a5411,4c74cc6b-076f-473f-8fd1-6fd51737404e,Savings,30119207794365,069100873,7927.11,,24.11,Suspended,2024-10-16 22:27:22.939375
fabe6a93-7a4d-4924-a272-ee2c1ccb36bd,ee484be4-6bfe-41d4-b98e-f5a864959a02,Credit Card,,094629086,32408.32,46666.8,7.53,Suspended,2016-11-17 06:14:28.161048
a9c206a1-8301-4bb8-a2bc-45c6db5f0984,95458fae-4786-4008-b920-fd83c5d24641,Credit Card,2242168886478071,,19461.55,24783.88,14.65,Inactive,2018-03-10 20:17:30.077016
2a4c8af9-09a0-4de9-bc3b-3b14c63ea321,ca5c4639-2d21-42df-aa3b-1be25315b67b,Loan,3540817241353422,115239630,-9975.68,,7.77,Suspended,2021-11-04 10:24:59.455737
b452539b-40b9-4d45-ab0f-9226e9eba1e1,467b10cd-fd09-448c-9fe5-744fc161722b,Savings,6555519669369311,056728705,80783.54,,1.0,,2025-11-05 18:46:51.757607
43b8d785-c58b-4a94-a151-56b2f9bdd620,36cac499-821a-4b15-9d8b-33c40e199761,Investment,30453385108068,071656904,29567.78,,,Closed,2025-05-05 07:26:22.909851
f7ae8da8-bb6d-40bc-bd64-b945b3c9b01b,56423982-bfe3-42b0-abc3-8e6ab3855895,Investment,3550316607622295,030236365,-4422.64,,,Inactive,2024-09-06 22:07:33.598444
ddc0bd7b-688d-489e-b5c4-30e83a874ed8,f577224c-f035-4115-b74a-d25fc5b0105d,Loan,6508473350150879,060441450,69381.49,,17.53,Closed,2017-10-14 08:25:27.556458
7dbbf64a-c7ed-45ab-abc4-ca722c9cc0bf,3c701644-16d8-4418-ad4d-e349b8234e21,Loan,4148790503439482,062877909,14870.56,,22.24,Suspended,2025-05-21 09:30:33.554515
598d6e4e-ae8f-4970-961f-892740a4c40c,92ac3534-f9a1-45d4-b141-7d60199547ce,Checking,6502586097323487,088684312,4024.07,,,Closed,2026-04-10 00:09:58.005649
f7500c7d-57b6-48ab-8134-266f68fd3540,d401b63f-143f-4a36-9caf-0a1bf868fc3a,Mortgage,3501769344736291,084621625,5341.42,,8.06,Suspended,2022-02-05 13:07:39.583176
024ceb47-8607-473a-bf70-b32f9d4ea347,b49528cf-b855-4be9-98af-1d42bb3a4813,Loan,639090560090,117171194,72907.79,,17.75,Inactive,2024-08-06 18:33:51.679862
1d3c1535-57d9-4109-8bf5-340d7339df7d,5b0e6455-f672-4dac-b216-a60e4da87bbd,Investment,180074976951639,094879593,92090.72,,,Closed,2015-10-05 14:48:46.570863
d75a351e-ff6e-4762-8ede-7bef41cbad76,c58df0cb-4215-4d81-8d97-a7e8e22043e6,Credit Card,4706721532044054,062032812,49808.61,30311.25,3.05,Suspended,2025-02-28 19:58:43.275240
bf99c598-cf01-4c29-a1e7-561bc2e5d745,5c023804-bbce-4e4b-ad50-0d02884c0940,Investment,5341767820657279,047310038,82639.98,,,Active,2020-10-14 16:47:15.334351
82c72367-cca3-40db-af1f-531dbe4e3ef2,d5686433-706a-4534-a58e-acb0953e6034,Savings,5296473822950474,076216514,-40945.92,,22.66,Active,2024-09-27 15:30:33.987637
63d72259-26aa-453d-bb9d-8459b0cadacf,c88cdf13-8dc1-46cd-8dd1-fb8d636d906a,Mortgage,4657591656622780,110992451,12726.96,,17.74,Suspended,2017-04-05 04:36:29.830250
31a2133c-1595-478b-9096-40914deb6230,ff385451-62ad-408b-b8a4-20fa074b9b7c,Savings,676180208552,123255101,56078.03,,18.04,Suspended,2018-10-11 00:46:39.919363
78de482a-df46-4fdb-80cd-8240c2f46d37,47c297cf-cca7-4f91-9be9-d4fc92acd25e,Mortgage,4947747812269,030412697,58657.27,,15.76,Active,2023-10-29 01:53:47.016069
7402ce52-43ae-4c9b-bb09-5d2283ca8289,b9a7ae42-b35b-47e0-9a47-e04e4ccb84e3,Checking,3549556517358928,097116758,15547.46,,,Suspended,2020-04-03 17:11:58.767235
ca0b2999-1f0e-431f-b887-e0265d33dd00,9a4ef276-3a86-4196-a116-302a312c32a8,Mortgage,3599839354859847,045858958,17010.16,,11.01,Suspended,2021-07-29 11:15:20.105668
13725619-257b-452e-94a5-0ece26563f57,6e7d00e9-fa3a-4557-874b-f0d09b659ff9,Loan,213142826753637,108126365,34025.82,,2.61,Suspended,2024-11-16 06:58:52.952984
ebc14ee6-fafe-4d7e-9285-748588aa43db,deb3d7ab-35ba-4b77-b20b-37b34ae96317,Checking,503882510517,025305227,32298.73,,,Suspended,2025-08-22 21:18:00.654480
1568c7c4-99e2-4329-91df-b1d909e6567a,85f06b9e-d5bd-40dc-8303-42002e321852,Credit Card,586337236440,107136482,-498.87,30579.52,9.34,Closed,2020-06-11 15:26:39.137898
82b78cac-e450-4807-8329-9ab45fe482b6,14c0255a-8a1f-4dd7-859a-d32c41077acd,Mortgage,5202227509158709,,12646.42,,18.94,Suspended,2023-07-06 14:05:06.913513
58312355-e965-4247-9cfc-e0384a875b41,231136c8-96b2-4c17-ba22-2b1e6a4f6681,Loan,3557503384963793,029381205,72338.99,,11.86,Active,2026-06-24 01:24:00.337908
7955a19d-ee48-4ed8-8f14-c23754cefe64,89165cc0-9dd1-4c40-8cd0-6eed575fc131,Mortgage,373720507503441,034978373,63381.6,,17.73,Active,2022-01-22 23:35:44.883004
d2c72e54-09dd-4ad2-ac8c-066d585fc9f2,23d27437-71e3-46d1-9db8-6d645cc62a45,Mortgage,4214212728466,044582733,24096.65,,22.85,Suspended,2017-06-29 10:38:35.645714
ed3bf9ae-32fa-4484-99de-e7abdb9d1c7e,31b25757-08db-4c13-abe5-9dd380aea99d,Checking,6594077937419999,126975035,78096.53,,,Active,2023-04-10 06:05:15.651212
ef1dca6b-1f70-47fe-85b3-a6ed6ce8f13d,33b2ff88-8119-49b2-ae08-b519ab6ee507,Savings,347670050586827,084992367,93039.72,,6.06,Closed,2017-02-23 23:40:35.808223
b91c54f6-ec91-4399-b723-ffe6ef685a89,39692147-e9d7-4476-b299-a7352d7abfcd,Loan,377103569915405,089819542,85426.1,,9.81,Active,2019-09-30 09:54:13.416429
9a64d823-6765-4aba-8f35-2722e29d0aca,78c0c2f7-870b-405e-8c7e-d753e58e61d8,Mortgage,3518848824146691,014893627,18959.27,,15.88,Active,2023-04-22 17:11:28.539666
cfce303c-f907-48c7-9eb1-a3debc52dedc,0a321f45-5154-437d-8b42-317fe66293ad,Loan,4319431291285406,111717376,55850.35,,13.55,Active,2017-10-29 12:17:17.062749
540de11f-2718-4b75-8741-5326e680289e,6e5a376f-59df-48c7-9f3c-647897ae3639,Savings,2711332768378765,061687404,48116.52,,6.32,Inactive,2021-01-17 07:10:13.344416
1e86ac60-ab46-4069-bb41-7f3a085cae7a,f83bda00-3419-47e6-a4d7-b1ca93c8f507,Checking,3598336704778711,060282567,-42076.25,,,Closed,2024-01-03 15:14:39.752979
2a90527d-f159-4eca-bf87-583e635afefa,47c297cf-cca7-4f91-9be9-d4fc92acd25e,Loan,588418314914,065362453,-18248.3,,21.43,Inactive,2018-09-01 17:20:06.887755
b31174f7-82df-47ac-b0f5-81a14df22451,2b0e5b71-ded8-403c-8e8f-0e70f5f3eedd,Loan,2296926437545705,052452130,15020.35,,19.31,Closed,2019-11-21 20:40:30.281827
0384f91e-4fda-4d38-a737-9da89decb771,786268e0-6ef4-46f0-8760-ec69d0bd4d07,Checking,4081160468753,086006329,-1966.66,,,Closed,2019-07-16 21:53:35.703384
0d9e699c-0465-4ebd-a1e4-39a185c1a5ca,117dded7-452d-4cb5-86e5-cd198190f983,Savings,3568509514078581,104370487,76051.97,,2.71,Inactive,2024-10-15 00:46:47.211991
80d42634-3bd8-4692-8303-722253e4d5ea,ea5a4927-af28-487f-a4d6-1cb2de7fb29f,Checking,30234800164799,039499161,22653.08,,,Inactive,2024-06-18 02:18:51.231687
9cb77e21-8362-4ad8-a327-114b3fc35500,171304cc-3330-4f87-8d80-26d92287f204,Loan,38214852495830,040210423,9106.48,,0.97,Inactive,2023-07-12 01:59:22.514630
9dcac73d-9460-4bf9-b233-8cfbbcaa1852,a932b48a-47b7-48d9-97ee-2d8df8c7a781,Invalid_Type,4102923558322444,111939031,96930.81,1485.45,17.11,Suspended,2024-11-29 04:44:06.945755
87c1d799-4151-467b-8ad6-4f215475965a,f3409a0e-8e1e-438b-9f1c-b30da3468f42,Investment,585528465073,011982324,21602.2,,,Inactive,2023-05-21 13:23:38.453805
94f2ebbb-db9c-435d-8b12-059d510dd315,2e59c79e-e767-499e-befc-f4438dda6568,Mortgage,213192756942080,019559474,31544.21,,21.32,Closed,2017-08-03 10:23:29.980024
f3718831-b3e5-4fe2-a013-d021bec2498f,364cabea-8a91-4012-aca8-47c3f13fd228,Checking,6011698973789683,034387715,55382.15,,,Active,2023-05-03 22:40:55.390186
4ceb8529-ed3d-4bf4-9d38-ca0d00ec6198,0059f5c7-2ad7-4317-a9cb-00b33eb2a920,Checking,30488815266706,100408913,25663.73,,,Active,2018-12-24 06:03:15.084349
6f25cfb7-75da-4596-9519-4c9fa04123df,b8c0653d-9adb-4d0d-8fc0-c006dfe438fa,Investment,6557302329182491,065241079,79719.09,,,,2018-04-17 03:34:44.253725
e7f4bf42-ed4a-4c44-a58a-5dc17df87fd5,d7c9d749-6bb0-4b79-90da-90bcdf9327d7,Credit Card,639061125162,060503178,45214.14,44584.36,12.7,Inactive,2017-01-06 23:11:51.965014
d471f428-cc7a-4cef-8b7c-f38ed0175c14,d04b8d5b-e4e6-4fa3-adf3-c7476cf4f001,Mortgage,639041130183,037452265,63122.59,,12.99,Suspended,2019-02-22 07:18:21.221282
7bbd273c-142d-4bc4-9f44-0fca17af7779,62b355a3-aa2e-4e0a-b4a8-7fcb35e3c75d,Investment,676182389905,080996804,78543.93,,,Inactive,2022-05-23 09:40:42.601743
21657d01-460a-456d-be31-89ba0d504109,b5981c53-0d25-4764-85d6-72fea80cd652,Loan,30206383380299,077518570,63039.02,,10.02,Inactive,2022-07-08 19:33:07.293000
f3d220cb-5bce-466d-8352-bcc8383427b8,8f4e3b62-0f21-47e1-a5a7-8d5781642d9a,Investment,379103854853145,039926414,55367.39,,,Active,2017-02-26 10:55:38.680717
f863bac1-0305-4441-907b-8666e106377f,35c625c8-24e6-43ae-81bf-1c8e648891a1,Loan,6011044968777385,103041801,-45658.51,,16.64,Closed,2020-01-03 23:38:05.119678
96d8c2cf-7ac4-4529-98be-6a5cdbef4eab,190a0cff-0a50-4db5-9531-65fea209f46d,Credit Card,372910482001765,092416770,83254.12,12560.33,11.96,Suspended,2020-10-12 22:02:13.152402
372b8b07-f39f-4cee-a487-deb844f1557a,8a10efbd-ef43-4311-b084-cfa888308b24,Mortgage,4735646145212318083,051787107,85593.5,,6.48,Inactive,2015-12-13 23:15:40.036295
9e1d7e7f-be72-4ece-aa33-fbeff60352a3,40fd5d6d-4c55-4212-8959-57aa285fafbc,Checking,180061210995225,023724596,8984.58,,,Suspended,2023-02-14 00:57:50.811492
3628b774-a055-40f7-b85e-d74a726781fe,f812593a-9ca7-4d2a-97c9-729e3c7ed274,Mortgage,3548758407028899,,-36586.26,,22.86,Closed,2024-01-20 07:20:20.301865
3e146f54-036a-48bd-afe8-0a6813bca73a,643cbf80-23d4-4075-a8fa-9e0dd6f5563e,Investment,675905472816,116189585,68788.61,,,Closed,2021-10-30 21:46:30.668983
cc6b6c72-3f23-4b14-8daa-a1b8b311e704,44632e7d-5f4e-4104-9d88-e68ba446f046,Checking,3527977266384178,033769994,60995.36,,,Active,2025-07-19 15:28:31.904776
c8ef248f-bfda-4e7f-a0ab-a458a0593256,b1b1632e-9912-4740-8a63-692c7fc4ab3a,Checking,36017320825997,086777409,67953.83,,,Suspended,2020-01-06 11:20:31.994028
e0cdb7ca-c1d7-4097-a733-8137677cc1ef,4db8c6fa-a2a0-4608-ae95-316fadaf5a56,Savings,3595326132832209,059269999,,,17.61,Closed,2021-01-23 12:58:55.120460
45c4c9b9-e17c-48c0-901d-d32ce2b5e45c,1fd4ebfd-a47c-4dd4-acb2-6d3a03bcf0aa,Savings,213184160255381,044665773,70101.82,,19.42,Active,2025-07-13 13:56:16.928866
1e242b88-f384-4696-8fd9-699a569a91c1,8f195dcd-cfe4-4e36-a73b-c98640e64573,Checking,4336203329937,045588477,49608.78,,,Suspended,2018-04-27 09:46:16.020462
4fc0482f-e6a2-4245-aa83-67ef92e91b54,c7631ea1-d89b-4f13-a188-906dce46f1a2,Mortgage,3530267483368260,065237889,62146.23,,3.17,Closed,2021-08-03 23:34:41.566564
a3da50ae-fae9-4b7a-b1b5-d4cf9df6bef3,d9b3c89c-21f3-4333-866d-f2d45d479680,Mortgage,6590181434036993,090763580,-9088.12,,8.3,Suspended,2017-12-22 02:09:18.718863
f847144c-8432-47f1-abaa-41f45442285a,f34a570f-4d84-481f-9fbd-49e325cce93e,Credit Card,30323195317599,084829618,3557.3,25442.66,4.15,Suspended,2022-11-20 01:00:24.850984
f1ee4572-a941-4e48-8708-2fae95b35342,4241e510-0c7a-40b7-a635-f8c4c1d01b14,Investment,4197331195388,052562457,21358.72,,,Closed,2021-04-06 07:53:58.507659
5fc53241-42fe-4009-add7-e93a386295c6,5b7de709-8d15-40bd-bd7f-5397dd779f86,Investment,3532042387155685,088738543,1212.57,,,Suspended,2021-01-10 03:43:58.281984
0ecad722-474e-4155-8a4e-e13f1916bfa6,3dcb953d-28ce-485e-856b-89b1c47556c9,Investment,4489057280076,118759340,96983.98,,,Closed,2020-02-13 03:51:43.326209
6ca6d674-9aa0-4ec5-86d8-2b4fbeb4c672,3e7c1d2e-0f14-43fd-b417-8036279b4554,Savings,30001882777370,126568879,95837.02,,14.19,Inactive,2019-07-10 03:21:24.574326
cd15ee37-12e7-4821-af7d-0993e912a4fc,8ce1d3f8-ad01-402a-b53c-ef8d86bb83b0,Credit Card,4598264172410583,085125010,40949.04,13237.07,15.82,Inactive,2022-07-21 08:26:36.450419
3197fb1b-45e8-485d-8fed-4c4c5ceaadd0,7c308d88-15e1-46c4-a0e7-b5695a78d1eb,Savings,4507979614814130,034607385,79429.49,,12.06,Inactive,2024-10-18 17:08:04.370781
f7156334-4474-4d0d-9247-a7a7ad6e036c,9a835ecb-f35e-4d0f-b09d-8efaec7ca123,Mortgage,6545445961676067,070307487,45190.68,,11.38,Suspended,2024-08-05 11:13:16.785645
9eeb23ed-33c6-425a-81c2-6d07847d9ffe,cf7d7859-e33f-4ca9-8ae6-6085c2c458cc,Credit Card,4267627987555828,048916790,73434.67,34962.26,16.35,Suspended,2017-10-31 11:20:36.967042
c5978fb6-193c-437f-b519-98620b85ca16,121fa04c-36a4-4b33-9677-d1a182e5f295,Invalid_Type,3574935113910605,,-3857.75,,,Suspended,2022-02-03 12:09:49.798371
04da05ff-f2e0-4547-96c0-d597b85fc81e,2396cc68-c551-4617-a578-cbb105fc88a3,Credit Card,060461616777,049244979,4661.41,37563.68,7.3,Closed,2023-03-10 02:00:36.064658
5d5a7045-acd2-46bd-9710-0e7e5b201d62,b456d1cd-a8d3-48d1-b469-ddddc170a877,Loan,4842572035245,012416404,20333.48,,6.31,Closed,2016-03-23 22:45:49.470165
7b7977fc-8e2f-4455-afe2-291ab80fadf9,665d1123-4f0d-4955-a60c-0703e83f3a66,Loan,3500688179071981,121666637,48215.42,,2.01,Suspended,2020-10-28 15:55:11.127837
9affae30-e9da-4175-80cf-2aaa501085e8,dae52e9b-3e1d-4d19-827e-48d39121af4d,Investment,4825881231465129,027251324,23195.3,,,Suspended,2022-05-06 18:48:41.796121
29680455-8a2a-4e6a-b640-f6778e42bf01,7ba35634-f828-4878-a180-75c1bca04205,Checking,30492006987534,020571108,-47395.17,,,Active,2017-10-12 07:36:05.984093
71660a0a-c7b9-4151-a961-036a2b806257,68391093-c7a9-4139-b9ce-fb2b7afd9c15,Checking,,054123153,-42914.05,,,Closed,2016-08-08 09:33:55.366417
070b505c-fcd1-4d72-9f3c-c9e77904a575,8cdaea83-bdd8-4442-b015-fbd96e0fff5c,Credit Card,4515968465083127678,059294168,-16685.0,2544.21,20.32,Closed,2023-05-08 08:17:51.449277
883a3d63-dd3d-465c-9109-dd6f07c92501,0c5a91b0-dfb3-4969-b99d-817c91ce53bb,Savings,3513514693807491,112570295,30612.51,,6.52,Active,2022-05-28 02:09:02.075306
edc9cf99-b543-4bed-a6a0-0446f0be9cc3,f35f769f-ec31-4f9f-8ba8-8c8653b76f64,Loan,373243460764587,102381041,97171.79,,21.92,Suspended,2023-03-17 18:39:28.562083
48acfe7e-3cb1-4986-ab4c-9a2181104398,3862ab4f-aafc-4c24-90fb-b19f8f2290a9,Savings,3529427139413794,027696141,95456.59,,10.88,Closed,2023-06-04 11:36:02.929264
25dd6d16-67af-43e9-8a93-70c064660f2f,c7e1e82c-a8eb-479a-b683-a6ee4c8aae54,Savings,3544140529353659,075510127,63473.41,,9.88,Suspended,2025-07-03 11:51:20.712220
2acd4720-7bed-44bd-bc45-5ac76a0e9874,2cf8716f-f9c8-40ee-9a96-a06602c9c5c6,Savings,213131178861148,083970982,2304.44,,5.28,Closed,2023-05-05 08:42:00.227376
b5f39283-26c4-46d0-8bfb-1eb198af76a8,e687e492-36b0-421a-8eef-37f10523c855,Checking,6528057670454693,032710546,-14953.75,,,Inactive,2016-08-15 20:53:20.882603
a8461854-45cc-4508-a712-6cc1fb5d2cc0,82bf7799-1eb4-4f29-ac7b-b243e7c210c2,Credit Card,4910673671226575652,098023620,57219.12,21095.68,4.21,Active,2026-03-27 18:11:47.811131
4a8c9f9a-2926-4e8c-b190-bff8ee247e09,3e32f7e3-80f7-4d57-9a5f-451e9526f870,Checking,503881221637,019926272,-18886.96,,,Inactive,2022-08-14 21:18:36.124227
